================================================================================
HMM 状態別デコード分析  k=9
  語頭=位置0, 語中=位置1〜L-2, 語末=位置L-1 (BOS/EOS 除外)
================================================================================

────────────────────────────────────────────────────────────────────────────────
  State 0: S0
────────────────────────────────────────────────────────────────────────────────
  単語                   占有率      語頭      語中      語末
  ---------------- -------  ------  ------  ------
  scth               75.0%    100%    100%      0%
  cth                66.7%    100%    100%      0%
  chckh              60.0%    100%     67%      0%
  chcth              60.0%    100%     67%      0%
  ckcho              60.0%    100%     67%      0%
  ckshy              60.0%    100%     67%      0%
  cpchy              60.0%    100%     67%      0%
  ctchy              60.0%    100%     67%      0%
  spchy              60.0%    100%     67%      0%
  chckshy            57.1%    100%     60%      0%
  schckhy            57.1%    100%     60%      0%
  schcthy            57.1%    100%     60%      0%
  cckhhy             50.0%    100%     50%      0%
  cfhs               50.0%    100%     50%      0%
  cfhy               50.0%    100%     50%      0%
  ch                 50.0%    100%    N/A      0%
  chcfhy             50.0%    100%     50%      0%
  chckhd             50.0%    100%     50%      0%
  chckhs             50.0%    100%     50%      0%
  chckhy             50.0%    100%     50%      0%
  chcphy             50.0%    100%     50%      0%
  chcs               50.0%    100%     50%      0%
  chcthd             50.0%    100%     50%      0%
  chcthihy           50.0%    100%     50%      0%
  chctho             50.0%    100%     50%      0%
  chcthy             50.0%    100%     50%      0%
  chesckhy           50.0%    100%     50%      0%
  chpchs             50.0%    100%     50%      0%
  chpchy             50.0%    100%     50%      0%
  ckchol             50.0%    100%     50%      0%

────────────────────────────────────────────────────────────────────────────────
  State 1: S1
────────────────────────────────────────────────────────────────────────────────
  単語                   占有率      語頭      語中      語末
  ---------------- -------  ------  ------  ------
  ch                 50.0%      0%    N/A    100%
  chckhhhy           50.0%      0%     67%      0%
  chcs               50.0%      0%     50%    100%
  chhy               50.0%      0%    100%      0%
  cs                 50.0%      0%    N/A    100%
  hs                 50.0%    100%    N/A      0%
  hy                 50.0%    100%    N/A      0%
  sh                 50.0%      0%    N/A    100%
  shckhh             50.0%      0%     50%    100%
  shhy               50.0%      0%    100%      0%
  chcfhhy            42.9%      0%     60%      0%
  chckhhy            42.9%      0%     60%      0%
  chcphhy            42.9%      0%     60%      0%
  chcthhy            42.9%      0%     60%      0%
  shckhhd            42.9%      0%     60%      0%
  shckhhy            42.9%      0%     60%      0%
  shcphhy            42.9%      0%     60%      0%
  shcthhy            42.9%      0%     60%      0%
  chchs              40.0%      0%     67%      0%
  chchy              40.0%      0%     67%      0%
  chckh              40.0%      0%     33%    100%
  chcth              40.0%      0%     33%    100%
  chshd              40.0%      0%     67%      0%
  chsho              40.0%      0%     67%      0%
  chshy              40.0%      0%     67%      0%
  ckhhy              40.0%      0%     67%      0%
  cphhy              40.0%      0%     67%      0%
  cthhy              40.0%      0%     67%      0%
  ithhy              40.0%      0%     67%      0%
  ockhh              40.0%      0%     33%    100%

────────────────────────────────────────────────────────────────────────────────
  State 2: S2
────────────────────────────────────────────────────────────────────────────────
  単語                   占有率      語頭      語中      語末
  ---------------- -------  ------  ------  ------
  acheody             0.0%      0%      0%      0%
  ackaldy             0.0%      0%      0%      0%
  acthedy             0.0%      0%      0%      0%
