# 複合語一覧 (3,357 語) — V1_expand_vow: 拡張: slot 2 (V_a) に 'i' 追加 → [o, y, i]
# 形式: [N基] 元語  ->  base1 + base2 + ...

[2基] acheody  ->  a + cheody
[4基] ackaldy  ->  a + c + ka + ldy
[2基] acthedy  ->  a + cthedy
[4基] adairchdy  ->  a + d + a + irchdy
[2基] adal  ->  a + dal
[2基] adam  ->  a + dam
[2基] adar  ->  a + dar
[2基] adchey  ->  a + dchey
[2基] adeeody  ->  a + deeody
[2基] ador  ->  a + dor
[4基] aeeodeey  ->  a + e + e + odeey
[3基] aekeeey  ->  a + e + keeey
[2基] aes  ->  a + es
[2基] ag  ->  a + g
[4基] aicky  ->  a + i + c + ky
[2基] aiees  ->  a + iees
[4基] aifhhy  ->  a + if + h + hy
[4基] aifhy  ->  a + i + f + hy
[3基] aiichy  ->  a + i + ichy
[3基] aiicthy  ->  a + i + icthy
[3基] aiidal  ->  a + i + idal
[4基] aiiikhedy  ->  a + i + iik + hedy
[4基] aiiiky  ->  a + i + i + iky
[4基] aiiinro  ->  a + i + iin + ro
[3基] aiikam  ->  a + i + ikam
[3基] aiildy  ->  a + i + ildy
[4基] aiinal  ->  a + i + in + al
[4基] aiinod  ->  a + i + in + od
[4基] aiinog  ->  a + i + in + og
[3基] aiioly  ->  a + i + ioly
[3基] aiiral  ->  a + i + iral
[3基] aiiraly  ->  a + i + iraly
[3基] aiirchar  ->  a + i + irchar
[3基] aiirody  ->  a + i + irody
[3基] aiirol  ->  a + i + irol
[3基] aiisaim  ->  a + i + isaim
[4基] aiisockhy  ->  a + i + i + sockhy
[3基] aiisod  ->  a + i + isod
[4基] aikhdy  ->  a + i + k + hdy
[4基] aikheky  ->  a + i + k + heky
[4基] aikhy  ->  a + i + k + hy
[2基] aildy  ->  a + ildy
[4基] ainaly  ->  a + i + n + aly
[4基] ainam  ->  a + i + n + am
[4基] ainarals  ->  a + in + a + rals
[4基] aindar  ->  a + i + n + dar
[2基] aiodam  ->  a + iodam
[4基] aiphey  ->  a + i + p + hey
[4基] aiphhey  ->  a + ip + h + hey
[4基] aiphy  ->  a + i + p + hy
[2基] airal  ->  a + iral
[4基] airaldy  ->  a + i + ra + ldy
[2基] airam  ->  a + iram
[2基] airar  ->  a + irar
[2基] airchy  ->  a + irchy
[2基] airod  ->  a + irod
[2基] airody  ->  a + irody
[2基] airol  ->  a + irol
[3基] airolm  ->  a + i + rolm
[2基] airols  ->  a + irols
[4基] airorlchy  ->  a + i + ro + rlchy
[2基] airoy  ->  a + iroy
[2基] aisam  ->  a + isam
[4基] aithchr  ->  a + i + t + hchr
[4基] aithy  ->  a + i + t + hy
[4基] akaiiky  ->  a + k + ai + iky
[2基] akaiin  ->  a + kaiin
[2基] akain  ->  a + kain
[2基] akair  ->  a + kair
[2基] akal  ->  a + kal
[2基] akar  ->  a + kar
[4基] akarar  ->  a + k + a + rar
[2基] akchedy  ->  a + kchedy
[2基] akchy  ->  a + kchy
[2基] akey  ->  a + key
[2基] aky  ->  a + ky
[2基] alaiiin  ->  a + laiiin
[2基] alaiin  ->  a + laiin
[2基] alain  ->  a + lain
[2基] alair  ->  a + lair
[4基] alairdy  ->  a + l + a + irdy
[2基] alal  ->  a + lal
[4基] alaldy  ->  a + l + a + ldy
[4基] alalor  ->  a + l + a + lor
[2基] alam  ->  a + lam
[4基] alamchy  ->  a + l + am + chy
[2基] alar  ->  a + lar
[2基] alcfhy  ->  a + lcfhy
[2基] alchd  ->  a + lchd
[2基] alchdy  ->  a + lchdy
[2基] alched  ->  a + lched
[2基] alchedar  ->  a + lchedar
[2基] alchedy  ->  a + lchedy
[2基] alcheey  ->  a + lcheey
[2基] alcheky  ->  a + lcheky
[2基] alches  ->  a + lches
[2基] alchey  ->  a + lchey
[2基] alchky  ->  a + lchky
[2基] alchl  ->  a + lchl
[2基] alchol  ->  a + lchol
[2基] alchor  ->  a + lchor
[2基] alchy  ->  a + lchy
[2基] ald  ->  a + ld
[2基] aldaiin  ->  a + ldaiin
[4基] aldalosam  ->  a + l + da + losam
[2基] aldam  ->  a + ldam
[2基] aldar  ->  a + ldar
[2基] aldy  ->  a + ldy
[2基] aldydy  ->  a + ldydy
[2基] aleedy  ->  a + leedy
[2基] aleey  ->  a + leey
[4基] alekeey  ->  a + l + e + keey
[2基] alfo  ->  a + lfo
[2基] alfshed  ->  a + lfshed
[2基] alg  ->  a + lg
[2基] alkaiin  ->  a + lkaiin
[2基] alkain  ->  a + lkain
[2基] alkair  ->  a + lkair
[2基] alkal  ->  a + lkal
[2基] alkam  ->  a + lkam
[2基] alkan  ->  a + lkan
[2基] alkar  ->  a + lkar
[2基] alkchdy  ->  a + lkchdy
[2基] alkeain  ->  a + lkeain
[2基] alkedy  ->  a + lkedy
[2基] alkeear  ->  a + lkeear
[2基] alkeedy  ->  a + lkeedy
[2基] alkeeol  ->  a + lkeeol
[2基] alkeey  ->  a + lkeey
[2基] alkey  ->  a + lkey
[2基] alkol  ->  a + lkol
[2基] alky  ->  a + lky
[2基] allkeam  ->  a + llkeam
[2基] ally  ->  a + lly
[2基] aloal  ->  a + loal
[2基] alod  ->  a + lod
[2基] alodam  ->  a + lodam
[2基] alodar  ->  a + lodar
[2基] alody  ->  a + lody
[2基] aloees  ->  a + loees
[2基] alog  ->  a + log
[2基] aloiiin  ->  a + loiiin
[2基] aloiin  ->  a + loiin
[2基] alol  ->  a + lol
[2基] alold  ->  a + lold
[2基] aloldy  ->  a + loldy
[3基] alolfchy  ->  a + l + olfchy
[2基] alolor  ->  a + lolor
[2基] alols  ->  a + lols
[3基] alolshedy  ->  a + l + olshedy
[2基] aloly  ->  a + loly
[2基] alom  ->  a + lom
[2基] alor  ->  a + lor
[2基] alory  ->  a + lory
[2基] alos  ->  a + los
[2基] alosheey  ->  a + losheey
[2基] aloy  ->  a + loy
[2基] alpchdar  ->  a + lpchdar
[2基] alpchdy  ->  a + lpchdy
[3基] alshdr  ->  a + l + shdr
[3基] alshdy  ->  a + l + shdy
[3基] alshedy  ->  a + l + shedy
[3基] alshees  ->  a + l + shees
[3基] alshey  ->  a + l + shey
[3基] alshy  ->  a + l + shy
[2基] alteol  ->  a + lteol
[2基] alys  ->  a + lys
[3基] amam  ->  a + m + am
[3基] aman  ->  a + m + an
[3基] amchd  ->  a + m + chd
[3基] amchy  ->  a + m + chy
[3基] amd  ->  a + m + d
[3基] amg  ->  a + m + g
[3基] amod  ->  a + m + od
[3基] amom  ->  a + m + om
[2基] aol  ->  a + ol
[3基] aporair  ->  a + p + orair
[2基] apy  ->  a + py
[2基] araiin  ->  a + raiin
[2基] arain  ->  a + rain
[2基] arair  ->  a + rair
[4基] arairaly  ->  a + r + a + iraly
[4基] arakaiin  ->  a + r + a + kaiin
[2基] aral  ->  a + ral
[4基] aralary  ->  a + r + a + lary
[4基] arald  ->  a + r + a + ld
[4基] aralos  ->  a + r + a + los
[2基] arals  ->  a + rals
[2基] araly  ->  a + raly
[2基] aram  ->  a + ram
[2基] arar  ->  a + rar
[4基] araral  ->  a + r + a + ral
[4基] araram  ->  a + r + a + ram
[4基] ararchodaiin  ->  a + r + a + rchodaiin
[4基] araroy  ->  a + r + a + roy
[2基] arary  ->  a + rary
[4基] araydy  ->  a + r + a + ydy
[2基] archeey  ->  a + rcheey
[2基] archeody  ->  a + rcheody
[2基] archeor  ->  a + rcheor
[2基] archol  ->  a + rchol
[2基] arcsy  ->  a + rcsy
[2基] are  ->  a + re
[2基] aree  ->  a + ree
[2基] arg  ->  a + rg
[2基] ariin  ->  a + riin
[2基] arod  ->  a + rod
[2基] arodaim  ->  a + rodaim
[2基] arodchedy  ->  a + rodchedy
[2基] arodl  ->  a + rodl
[2基] arodly  ->  a + rodly
[2基] arody  ->  a + rody
[2基] aroiin  ->  a + roiin
[2基] aroka  ->  a + roka
[2基] arol  ->  a + rol
[3基] arolkeey  ->  a + r + olkeey
[3基] arolky  ->  a + r + olky
[2基] arolor  ->  a + rolor
[2基] arolsas  ->  a + rolsas
[2基] arom  ->  a + rom
[2基] aror  ->  a + ror
[3基] arorochees  ->  a + r + orochees
[2基] arorsheey  ->  a + rorsheey
[2基] aros  ->  a + ros
[2基] aroshy  ->  a + roshy
[2基] aroteey  ->  a + roteey
[2基] arotey  ->  a + rotey
[4基] arsheg  ->  a + r + she + g
[3基] arshey  ->  a + r + shey
[2基] arxor  ->  a + rxor
[2基] aryly  ->  a + ryly
[2基] asa  ->  a + sa
[2基] asaly  ->  a + saly
[2基] ash  ->  a + sh
[2基] ataiin  ->  a + taiin
[4基] ataseos  ->  a + t + a + seos
[2基] ateey  ->  a + teey
[2基] atey  ->  a + tey
[3基] atolg  ->  a + t + olg
[2基] aty  ->  a + ty
[2基] axor  ->  a + xor
[2基] cckheor  ->  c + ckheor
[4基] cckhhy  ->  c + ck + h + hy
[4基] ceectheey  ->  c + e + e + ctheey
[4基] cfarasr  ->  c + f + a + rasr
[4基] cfhdorol  ->  c + f + h + dorol
[4基] cfhekchdy  ->  c + f + he + kchdy
[4基] cfhodoral  ->  c + f + h + odoral
[4基] chadaiin  ->  c + h + a + daiin
[4基] chaiind  ->  c + h + aiin + d
[4基] chaindy  ->  c + h + ain + dy
[4基] chairal  ->  c + h + a + iral
[4基] chakain  ->  c + h + a + kain
[4基] chakeey  ->  c + h + a + keey
[4基] chakod  ->  c + h + a + kod
[4基] chalaiin  ->  c + h + a + laiin
[4基] chalal  ->  c + h + a + lal
[4基] chalaly  ->  c + h + a + laly
[4基] chald  ->  c + h + a + ld
[4基] chalg  ->  c + h + a + lg
[4基] chalkain  ->  c + h + a + lkain
[4基] chalkar  ->  c + h + a + lkar
[4基] chalkeedy  ->  c + h + a + lkeedy
[4基] chalkeeedy  ->  c + h + a + lkeeedy
[4基] chalkeey  ->  c + h + a + lkeey
[4基] chalolky  ->  c + h + al + olky
[4基] chaloly  ->  c + h + a + loly
[4基] chalor  ->  c + h + a + lor
[4基] chalsain  ->  c + h + a + lsain
[4基] chaltar  ->  c + h + a + ltar
[4基] chapchy  ->  c + h + a + pchy
[4基] charaiin  ->  c + h + a + raiin
[4基] charain  ->  c + h + a + rain
[4基] charam  ->  c + h + a + ram
[4基] chariin  ->  c + h + a + riin
[4基] charor  ->  c + h + a + ror
[4基] chataiin  ->  c + h + a + taiin
[4基] chcfhhy  ->  c + h + cfh + hy
[2基] chcheey  ->  c + hcheey
[2基] chcheky  ->  c + hcheky
[2基] chchetal  ->  c + hchetal
[2基] chchky  ->  c + hchky
[4基] chchoty  ->  c + h + c + hoty
[4基] chchsty  ->  c + h + ch + sty
[2基] chchty  ->  c + hchty
[4基] chckaiin  ->  c + h + c + kaiin
[4基] chckhhhy  ->  c + hckh + h + hy
[4基] chckhhy  ->  c + h + ckh + hy
[4基] chckhyfchy  ->  c + h + ck + hyfchy
[4基] chckshy  ->  c + h + c + kshy
[4基] chcky  ->  c + h + c + ky
[4基] chcpaiin  ->  c + h + c + paiin
[4基] chcphhdy  ->  c + h + cph + hdy
[4基] chcphhy  ->  c + h + cph + hy
[4基] chcpy  ->  c + h + c + py
[4基] chcta  ->  c + h + c + ta
[4基] chctey  ->  c + h + c + tey
[4基] chcthhy  ->  c + h + cth + hy
[4基] chcthihy  ->  c + h + cthi + hy
[4基] chcty  ->  c + h + c + ty
[4基] chdaiirsainy  ->  c + h + dai + irsainy
[4基] chdairod  ->  c + h + da + irod
[4基] chdalal  ->  c + h + da + lal
[4基] chdalchdy  ->  c + h + da + lchdy
[4基] chdaldy  ->  c + h + da + ldy
[4基] chdalkair  ->  c + h + da + lkair
[4基] chdalor  ->  c + h + da + lor
[4基] chdarol  ->  c + h + da + rol
[2基] chdchdy  ->  c + hdchdy
[2基] chdchol  ->  c + hdchol
[2基] chdchy  ->  c + hdchy
[2基] chdedy  ->  c + hdedy
[2基] chdeey  ->  c + hdeey
[4基] chdlcty  ->  c + h + dlc + ty
[2基] chdodaiin  ->  c + hdodaiin
[3基] chdolaiin  ->  c + h + dolaiin
[3基] chdykchedy  ->  c + h + dykchedy
[3基] chdypdaiin  ->  c + h + dypdaiin
[3基] chdyshdy  ->  c + h + dyshdy
[4基] cheaikhy  ->  c + h + eaik + hy
[4基] chealol  ->  c + h + ea + lol
[4基] chealor  ->  c + h + ea + lor
[4基] chealror  ->  c + h + ea + lror
[4基] cheamar  ->  c + h + eam + ar
[4基] chearaiin  ->  c + h + ea + raiin
[4基] checfhy  ->  c + h + e + cfhy
[4基] chechey  ->  c + h + e + chey
[4基] checkhd  ->  c + h + e + ckhd
[4基] checkhdy  ->  c + h + e + ckhdy
[4基] checkhed  ->  c + h + e + ckhed
[4基] checkhedy  ->  c + h + e + ckhedy
[4基] checkhey  ->  c + h + e + ckhey
[4基] checkho  ->  c + h + e + ckho
[4基] checkhol  ->  c + h + e + ckhol
[4基] checkhy  ->  c + h + e + ckhy
[4基] checphedy  ->  c + h + e + cphedy
[4基] checphey  ->  c + h + e + cphey
[4基] checthal  ->  c + h + e + cthal
[4基] chectham  ->  c + h + e + ctham
[4基] checthdy  ->  c + h + e + cthdy
